Course Code,Course Name
MTH 2302,Introduction to Linear Algebra
MTH 3300,Differential Equations
MTH 3303,Intermediate Analysis
MTH 4301,Transforms in Applied Mathematics
MTH 4302,Intro to Stochastic Processes
MTH 4303,Linear Algebra
MTH 4304,Numerical Analysis I
MTH 4305,Real Analysis I
MTH 4306,Real Analysis II
MTH 4307,Numerical Analysis II
MTH 4310,Mathematical Statistics II
MTH 4311,Operation Research
MTH 4315,Stochastic Models
MTH 4320,Computational Finance
MTH 4333,Internship
MTH 4499,Capstone
PHL 1300 A,Critical Thinking
PHL 1300 B,Critical Thinking
PHL 1300 C,Critical Thinking
PHL 3310 B,Contemporary Moral Problems
PHY 1401 A,Principles of Physics I
PHY 1401 B,Principles of Physics I
PHY 1402,Principles of Physics II
PHY 1402 B,Principles of Physics II
PHY 3300,Electronics
POL 1301 A,Introduction to American Government
POL 1301 B,Introduction to American Government
POL 1301 C,Introduction to American Government
POL 2301 A,Introduction to Political Science
POL 2301 B,Introduction to Political Science
POL 2315 A,Global Issues
POL 2315 B,Global Issues
POL 2315 C,Global Issues
POL 3310,Comparative Politics
POL 3311,Public Administration
POL 3315,Political Theory
POL 3320,International Relations
POL 3325 A,Global Ethics
POL 3325 B,Global Ethics
POL 3330,Introduction to Political Research
POL 4305,Voting and Elections
POL 4310,Politics of Peace
POL 4311,African Politics
POL 4315,Comparative Political Economy
POL 4320,International Security
POL 4322,International Political Economy
POL 4325,Comparative Public Policy
POL 4326,International Organizations
POL 4327,Nationalism and Ethnic Conflict
POL 4350,Diplomatic Simulations
POL 4395,Directed Reading & Research
POL 4398,Internship
POL 4499,Senior Seminar (Capstone)
PSY 1301 A,Introduction to General Psychology
PSY 1301 B,Introduction to General Psychology
PSY 1301 C,Introduction to General Psychology
SOC 1301,Introductory Sociology
SPN 1301,Elementary Spanish I
STA 3301,Analysis of Variance for Design Exp
STA 4302,Monte-Carlo Simulation & Resampling
